날짜,강의명,이미지,내용
1001,글로벌소양과문화컨텐츠,1,글로벌소양과문화컨텐츠 동일 수업 수강#!#빈곤퇴치 물과위생 깨끗한 에너지 등 글로벌 시대의 세계시민 교육에 대해 논의함
1004,창업마케팅AtoZ,2,마케팅의 개념과 사례를 배움
1005,정보보호론1,3,정보보호론 동일수업 수강#!#클라우드컴퓨팅 및 바이러스 취약점 및 예방 또는 백도어를 자세히 배움
1006,바이러스학1,4,신종감염병 정의 및 초기연구(유전분석) 진단에 대해 배움
1006,정보보호론2,5,정보보호론 동일수업 수강#!#Intrusion Trespass Examples intrusion 침해사례 및 침해사례의 원인 및 침해사례의 적절한 방지 및 예방 방법을 자세히 배움
1007,바이러스학2,6,바이러스학 - 백신 역학에 대해 자세히 배우고 스터디 진행
1007,문화예술로배우는생명의기원,7,문화예술로배우는생명의기원 동일수업 수강#!#SETI 드레이크방정식 FermiParadox 드레이크방정식의 이해 및 실제 사용에 대해 배움
1007,지능정보시스템,8,지능정보시스템 동일수업 수강#!#중간고사 공지 및 웹 기초 스크래핑 웹 데이터를 가져오는 실습을 진행함
1008,글로벌소양과문화컨텐츠,9,글로벌소양과문화컨텐츠 동일 수업 수강#!#글로벌 시대의 세계시민교육 세 번째 강의에 대해 수업지원함
1011,창업마케팅AtoZ,10,온라인 매장 창업 - 크라우드 펀딩에 관한 논의를 진행
1012,정보보호론1,11,정보보호론 동일수업 수강#!#Firewall & IPS Types of Firewalls 를 자세히 배움
1013,바이러스학1,12,기생 및 분자생물학중심설에 대한 다큐를 시청 이후 관련 논의
1013,정보보호론2,13,정보보호론 동일수업 수강#!#Buffer Overflow를 배우고 이해못한 부분 자세히 스터디 진행함
1014,바이러스학2,14,세포막 수용체와 사이토카인 세포골격 운동단백질 수송기전에 대해 배움
1014,문화예술로배우는생명의기원,15,문화예술로배우는생명의기원 동일수업 수강#!#기독교생명관 에반올마이티 및 노아 필터(밝기 감마)
1014,지능정보시스템,16,지능정보시스템 동일수업 수강#!#실전크롤링을 행함
1015,글로벌소양과문화컨텐츠,17,글로벌소양과문화컨텐츠 동일 수업 수강#!#글로벌 시대의 세계시민교육 다섯~여섯 번째 강의를 통해 세계시민교육을 갖춤
1018,창업마케팅AtoZ,18,창업기업의자산과 행정절차를 논의함
1019,정보보호론1,19,정보보호론 동일수업 수강#!#중간고사 예행연습 + 전체적인 수업 진행
1020,바이러스학1,20,단백질합성및수송체계를 배움
1020,정보보호론2,21,정보보호론 동일수업 수강#!#중간고사 이후 전체적인 개념 훑어보며 수업공부 진행함
1021,바이러스학2,22,백신역학을 자세하게 배움
1021,문화예술로배우는생명의기원,23,문화예술로배우는생명의기원 동일수업 수강#!#지적설계론 및 마더
1021,지능정보시스템,24,지능정보시스템 동일수업 수강#!#중간고사 대비 전체적인 공부리뷰를 진행
1022,글로벌소양과문화컨텐츠,25,글로벌소양과문화컨텐츠 동일 수업 수강#!#글로벌 시대의 빅히스토리 수업 지원
1025,창업마케팅AtoZ,26,중간고사대비 창업기업의 자산과 행정절차를 논의함
1026,정보보호론1,27,정보보호론 동일수업 수강#!#중간고사 리뷰를 진행하였음
1027,바이러스학1,28,세포생물학리뷰를 진행하고 부착 침투 탈피 관련 영상 시청
1027,정보보호론2,29,정보보호론 동일수업 수강#!#Software Security 및 Command Injection Attack을 자세하게 배움
1028,바이러스학2,30,복제 방출 인플루엔자 레트로바이러스 손씻기 효과 관련 공부를 진행
1028,문화예술로배우는생명의기원,31,문화예술로배우는생명의기원 동일수업 수강#!#해양모험소설 오브리머투린시리즈 찰스다윈 비글호 마스터앤커맨더
1028,지능정보시스템,32,지능정보시스템 동일수업 수강#!#크롤링데이터 그래프를 그리는 공부를 진행함
1029,글로벌소양과문화컨텐츠,33,글로벌소양과문화컨텐츠 동일 수업 수강#!#글로벌 시대 중 생명의 정의에 대한 이해를 통해 생명의 정의를 이해함
