날짜,내용,이미지,강의명
0906,창업지원단 홍보 동영상 시청#!#창업지원단 지원사업안내에 대해 배움,1,창업마케팅AtoZ
0907,정보보호론 동일수업 수강#!#정보보호의 기초에 대해 배움,2,정보보호론1
0908,바이러스학 생명정의#!#바이러스기원설오리엔테이션에 대한 수업지원,3,바이러스학1
0908,정보보호론 동일수업 수강#!#정보보호 관련 개념에 대해 배우고 수업에 대한 이해를 하지 못한 경우 추가 스터디 진행,4,정보보호론2
0909,바이러스구조 및 전자현미경#!#캡시트 외피#!#박테리오파지,5,바이러스학2
0909,문화예술로배우는생명의기원 동일수업 수강#!#,6,문화예술로배우는생명의기원
0909,지능정보시스템 동일수업 수강#!#AI와DS 그리고 주피터 노트북 사용연습과 공공데이터 csv파일 읽기에 대한 수업지식을 얻음,7,지능정보시스템
0910,글로벌소양과문화컨텐츠 동일 수업 수강#!#수업에 대한 질의 및 스터디 진행,8,글로벌소양과문화컨텐츠
0913,창업에 대한 수업 진행,9,창업마케팅AtoZ
0914,정보보호론 동일수업 수강#!#암호화 기초에 대해 배우고 수업에 대한 이해를 하지 못한 경우 추가 스터디 진행,10,정보보호론1
0915,바이러스게놈(분류채계와 복제특성)에 대한 수업지원,11,바이러스학1
0915,정보보호론 동일수업 수강#!#RSA알고리즘 및 정보보안에 대해 배우고 수업에 대한 이해를 하지 못한 경우 추가 스터디 진행,12,정보보호론2
0916,변이바이러스 관련 질의 및 수업지원,13,바이러스학2
0916,문화예술로배우는생명의기원 동일수업 수강#!#,14,문화예술로배우는생명의기원
0916,지능정보시스템 동일수업 수강#!#기온 공공데이터 분석함,15,지능정보시스템
0917,글로벌소양과문화컨텐츠 동일 수업 수강#!#수업에 대한 질의 및 스터디 진행,16,글로벌소양과문화컨텐츠
0921,정보보호론 동일수업 수강#!#Auth 개념에 대해 배우고 수업에 대한 이해를 하지 못한 경우 추가 스터디 진행,18,정보보호론1
0922,초기미생물의역사#!#초기감염병학의역사에 대한 수업 지원,19,바이러스학1
0922,정보보호론 동일수업 수강\Auth 응용지식 및 개념에 대해 배우고 수업에 대한 이해를 하지 못한 경우 추가 스터디 진행,20,정보보호론2
0923,초기바이러스학의역사에 대한 수업지원,21,바이러스학2
0923,문화예술로배우는생명의기원 동일수업 수강#!#,22,문화예술로배우는생명의기원
0923,지능정보시스템 동일수업 수강#!#인구 공공데이터를 다룸,23,지능정보시스템
0924,글로벌소양과문화컨텐츠 동일 수업 수강#!#수업에 대한 질의 및 스터디 진행,24,글로벌소양과문화컨텐츠
0927,온라인매장창업 스마트스토어 관련 러닝넥스트 정재훈 대표님이 수업을 진행함,25,창업마케팅AtoZ
0928,정보보호론 동일수업 수강#!#WORM 바이러스 지식 관련 개념에 대해 배우고 수업에 대한 이해를 하지 못한 경우 추가 스터디 진행,26,정보보호론1
0929,생물의약품 (혈액제제 및 백신) 수업 지원,27,바이러스학1
0929,정보보호론 동일수업 수강#!#Cloud Security 개념에 대해 배우고 수업에 대한 이해를 하지 못한 경우 추가 스터디 진행,28,정보보호론2
0930,바이오의약품(유전자치료제 및 바이러스 안전성)#!#바이러스제거기술(여과분리) 수업 지원,29,바이러스학2
0930,문화예술로배우는생명의기원 동일수업 수강#!#,30,문화예술로배우는생명의기원
0930,지능정보시스템 동일수업 수강#!#Numpy및 Pandas를 다뤘으며 추가 스터디가 필요하여 진행,31,지능정보시스템
